id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,availability_365
2818,3159,Daniel,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,60,70
20168,59484,Alexander,Centrum-Oost,52.36407,4.89393,Private room,106,0
27886,97647,Flip,Centrum-West,52.387609999999995,4.8918800000000005,Private room,135,8
28871,124245,Edwin,Centrum-West,52.36775,4.8909199999999995,Private room,75,238
29051,124245,Edwin,Centrum-Oost,52.365840000000006,4.89111,Private room,55,267
44391,194779,Jan,Centrum-Oost,52.37168,4.9147099999999995,Entire home/apt,240,0
49552,225987,Joanna & MP,Centrum-West,52.38028,4.89089,Entire home/apt,179,185
49790,227530,Klaas,De Baarsjes - Oud-West,52.36158,4.86101,Entire home/apt,250,219
50523,231946,Raymond,Centrum-West,52.368109999999994,4.882619999999999,Private room,118,316
55621,262846,Bharati,De Pijp - Rivierenbuurt,52.35399,4.8975599999999995,Entire home/apt,222,0
55709,263233,Jan-Willem,Centrum-Oost,52.358112,4.8976370000000005,Entire home/apt,175,25
55868,264178,Cornelie,Zuid,52.35597,4.88512,Entire home/apt,149,0
62015,301340,Jessica,Oud-Oost,52.364309999999996,4.93122,Entire home/apt,120,0
70598,339333,Nadira,Noord-West,52.4129,4.92224,Private room,40,33
75499,400896,Edwin + Karin,De Baarsjes - Oud-West,52.36326,4.8773800000000005,Entire home/apt,90,298
76459,400896,Edwin + Karin,De Baarsjes - Oud-West,52.36261,4.876526,Private room,90,0
80635,436145,Riks,Centrum-West,52.37828,4.8944,Private room,82,0
82482,186729,Shawna,Centrum-West,52.369679999999995,4.88122,Entire home/apt,109,225
91535,494281,Michiel,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,115,116
97221,195859,Gianni,Slotervaart,52.348009999999995,4.83639,Private room,42,355
97476,485930,Rachel,Zuid,52.35665,4.863630000000001,Entire home/apt,99,0
118097,538659,Wendie,Centrum-Oost,52.3638,4.88479,Private room,73,11
137026,670266,Ton & Fede,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,270,90
162467,776296,Nicole,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,155,330
168769,436145,Riks,Centrum-West,52.37956,4.8935900000000006,Private room,88,0
169356,806976,Nick,Centrum-West,52.381040000000006,4.8830599999999995,Entire home/apt,157,156
171054,815989,Kamiel,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,120,0
179528,856540,Pierre,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,250,47
188347,907405,Yahav,De Baarsjes - Oud-West,52.3683,4.8544599999999996,Private room,70,0
189754,915591,Marijn,Centrum-West,52.375479999999996,4.89398,Entire home/apt,165,203
193038,935742,Johan,Centrum-Oost,52.36057,4.89671,Private room,90,169
213371,1100324,Hendrik,De Pijp - Rivierenbuurt,52.3515,4.89656,Entire home/apt,200,4
214531,1107389,Henry,Centrum-West,52.37169,4.89446,Private room,115,63
219276,1135329,Amsterdam Boutique Apartments,Centrum-West,52.368829999999996,4.887490000000001,Private room,265,343
222516,1155595,Alex,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,119,0
226121,1178877,Eric,De Baarsjes - Oud-West,52.36138,4.86717,Entire home/apt,135,22
245927,1005087,Wytse,Centrum-West,52.36815,4.88604,Entire home/apt,470,308
247805,1298735,Carolien,De Baarsjes - Oud-West,52.36707,4.873480000000001,Private room,122,352
252080,1322517,Evan,Centrum-Oost,52.36936,4.90963,Entire home/apt,385,0
254800,1337537,Dj,Centrum-West,52.37122,4.88211,Entire home/apt,211,267
255809,1344947,F.M.,De Pijp - Rivierenbuurt,52.344159999999995,4.88709,Private room,129,332
262394,1376607,Martin,Zuid,52.35695,4.85234,Private room,88,0
272597,1426693,Arnoud,Zuid,52.3481,4.85648,Entire home/apt,145,0
274688,1435990,Marij,Bos en Lommer,52.37977,4.85574,Entire home/apt,125,35
283170,1451657,Marco,Zuid,52.35435,4.8731599999999995,Entire home/apt,707,222
286500,1491565,David,Centrum-West,52.375609999999995,4.9,Private room,90,216
290701,1491565,David,Centrum-West,52.375609999999995,4.9,Private room,97,215
291752,1511330,Ton,Oud-Oost,52.35179,4.910819999999999,Private room,105,339
297220,1532319,Anand,De Pijp - Rivierenbuurt,52.35784,4.90206,Entire home/apt,145,90
304082,276068,Mirre,Centrum-West,52.37239,4.89657,Private room,94,321
304143,1565319,Dick,Oud-Oost,52.3623,4.92028,Entire home/apt,95,0
306852,1141485,Gisèle And Simon,Centrum-Oost,52.35931,4.89844,Entire home/apt,200,0
307497,1582128,Jorn,Centrum-Oost,52.367329999999995,4.92055,Entire home/apt,707,281
307621,1141485,Gisèle And Simon,Centrum-Oost,52.358709999999995,4.89616,Entire home/apt,125,0
308028,1141485,Gisèle And Simon,Centrum-Oost,52.35972,4.8975,Private room,95,1
311124,1600010,Anke & Robert,Centrum-West,52.37104,4.87713,Entire home/apt,220,346
327285,1672823,Ester,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,232,24
331946,1687595,Sebastiaan,De Baarsjes - Oud-West,52.3606,4.8573900000000005,Entire home/apt,220,0
343094,1740785,Rob & Fang,Oud-Oost,52.35715,4.90926,Private room,65,230
350271,1775032,Agustina,IJburg - Zeeburgereiland,52.361290000000004,4.98845,Entire home/apt,395,358
357932,1811552,Peter,De Pijp - Rivierenbuurt,52.35699,4.89705,Entire home/apt,200,363
357980,1811745,Marre,De Baarsjes - Oud-West,52.363479999999996,4.87648,Entire home/apt,245,4
361342,1826139,Esther & Jan,Centrum-West,52.37962,4.8945,Entire home/apt,328,12
366438,1849988,Nicolet,Centrum-Oost,52.36738,4.89671,Private room,120,119
367107,1853421,Marijn,Centrum-Oost,52.362629999999996,4.90216,Entire home/apt,182,11
367491,1855417,Maarten,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,119,14
378523,1901477,Caroline,Centrum-Oost,52.3742,4.9040099999999995,Entire home/apt,280,144
396125,1979865,Carolyn,Centrum-West,52.378240000000005,4.88532,Private room,85,0
402353,2008330,Lidy,Watergraafsmeer,52.35338,4.934069999999999,Private room,119,265
414865,2063261,Miranda,Zuid,52.350429999999996,4.84676,Entire home/apt,110,14
415619,1336633,Stephan,Oostelijk Havengebied - Indische Buurt,52.36905,4.9352800000000006,Entire home/apt,145,277
422044,1826139,Esther & Jan,Centrum-West,52.37964,4.894419999999999,Entire home/apt,310,44
437757,2174719,Natalie,De Pijp - Rivierenbuurt,52.35503,4.9051599999999995,Entire home/apt,113,3
440992,2191136,Jan,Zuid,52.341621,4.849049,Entire home/apt,200,9
441424,2193861,Marco,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,185,29
445660,2202945,Heleen,De Baarsjes - Oud-West,52.37001,4.85646,Private room,70,283
446592,1543378,Daniel,De Pijp - Rivierenbuurt,52.35688,4.90278,Private room,100,336
450767,2238440,Richard En Birgit,Centrum-Oost,52.370059999999995,4.90081,Entire home/apt,275,281
462341,2297302,Milen & Joes,Centrum-West,52.3739,4.8926300000000005,Entire home/apt,171,0
481664,1382273,Eltjo,Westerpark,52.39134,4.89067,Private room,95,310
483779,2395278,Alex,Slotervaart,52.3509,4.83293,Private room,100,0
503629,2483843,Alban,Zuid,52.3543,4.87701,Entire home/apt,120,0
505012,1645998,Djoke,Centrum-Oost,52.36412,4.887569999999999,Entire home/apt,299,165
505650,2492723,Irene,Zuid,52.354820000000004,4.87438,Private room,131,328
507598,2501656,Stephanie,Centrum-West,52.376940000000005,4.8800300000000005,Entire home/apt,600,362
508433,1744556,Martien,Geuzenveld - Slotermeer,52.37166,4.82951,Entire home/apt,275,39
515088,2536879,Hansje,Noord-Oost,52.39675,4.99603,Private room,120,344
515749,2540480,Derk,Centrum-Oost,52.35902,4.896059999999999,Entire home/apt,145,341
515921,2541099,Anne-Marie,Zuid,52.35022,4.8525,Entire home/apt,159,87
517996,2550339,Aemilia,Centrum-West,52.37827,4.885680000000001,Entire home/apt,200,0
522471,2569931,Harriet,Bos en Lommer,52.3774,4.851,Entire home/apt,180,0
528022,2594559,Els,Westerpark,52.39114,4.88846,Private room,100,332
538723,356740,Dimphy,Watergraafsmeer,52.354,4.93965,Entire home/apt,140,0
544506,2677807,Sander,Bos en Lommer,52.376509999999996,4.85825,Entire home/apt,345,350
549310,2699033,Barbara,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,200,22
553514,618589,Mirjam,Westerpark,52.384440000000005,4.86916,Entire home/apt,80,158
556829,2737834,Sophia,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,110,5
568005,2794849,Yasha & Dessi,Zuid,52.3541,4.8815,Entire home/apt,140,48
568446,2797260,Noriko,Centrum-Oost,52.37079,4.90153,Entire home/apt,91,0
570753,2439449,Henriette,Zuid,52.34904,4.86765,Private room,75,340
571029,2810037,Rosa,De Baarsjes - Oud-West,52.3676,4.85976,Entire home/apt,150,0
575603,2830952,Henning,Centrum-Oost,52.36112,4.89462,Entire home/apt,245,1
579851,2851886,Sonja,Westerpark,52.39144,4.88436,Private room,124,74
582382,2868026,Emer,Oud-Noord,52.394420000000004,4.91478,Entire home/apt,170,0
588020,1759884,Ivan,Centrum-Oost,52.36918,4.9131599999999995,Entire home/apt,300,247
588116,2901110,Fanneke,Watergraafsmeer,52.34973,4.91677,Entire home/apt,100,1
588326,2717366,Helen,Westerpark,52.38525,4.88006,Entire home/apt,250,299
590236,2912339,Kelli,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,120,202
590681,2914846,Lotte,Zuid,52.347879999999996,4.8506,Entire home/apt,295,4
606871,3007402,Diewert,Westerpark,52.37621,4.87075,Private room,52,235
608432,3015785,Erik And Mary Jo,Centrum-West,52.381996,4.888583000000001,Private room,62,52
613088,3040748,Henk,Noord-Oost,52.41016,4.96369,Private room,87,359
623123,2695123,Janne,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,450,0
